roundId,answer_raw,updatedAt,phaseId,aggregatorRoundId,dateTimeAt
18446744073709551967,99633300,1667867843,1,351,2022-11-08 00:37:23
18446744073709551968,99940000,1667873243,1,352,2022-11-08 02:07:23
18446744073709551969,99571334,1667936003,1,353,2022-11-08 19:33:23
18446744073709551970,99935210,1667936219,1,354,2022-11-08 19:36:59
18446744073709551971,99633865,1667951699,1,355,2022-11-08 23:54:59
18446744073709551972,99945031,1667952935,1,356,2022-11-09 00:15:35
18446744073709551973,99617302,1668031295,1,357,2022-11-09 22:01:35
18446744073709551974,99974315,1668031355,1,358,2022-11-09 22:02:35
18446744073709551975,99672935,1668035027,1,359,2022-11-09 23:03:47
18446744073709551976,99298200,1668035291,1,360,2022-11-09 23:08:11
18446744073709551977,99643788,1668035351,1,361,2022-11-09 23:09:11
18446744073709551978,99972098,1668037871,1,362,2022-11-09 23:51:11
18446744073709551979,99607929,1668038147,1,363,2022-11-09 23:55:47
18446744073709551980,99916754,1668038171,1,364,2022-11-09 23:56:11
18446744073709551981,99596314,1668038351,1,365,2022-11-09 23:59:11
18446744073709551982,99907058,1668038591,1,366,2022-11-10 00:03:11
18446744073709551983,99518640,1668052247,1,367,2022-11-10 03:50:47
18446744073709551984,99851000,1668052679,1,368,2022-11-10 03:57:59
18446744073709551985,99475954,1668053903,1,369,2022-11-10 04:18:23
18446744073709551986,99794353,1668054323,1,370,2022-11-10 04:25:23
18446744073709551987,100143250,1668057227,1,371,2022-11-10 05:13:47
18446744073709551988,100500000,1668062939,1,372,2022-11-10 06:48:59
18446744073709551989,100157511,1668063143,1,373,2022-11-10 06:52:23
18446744073709551990,100500000,1668064619,1,374,2022-11-10 07:16:59
18446744073709551991,100814705,1668065219,1,375,2022-11-10 07:26:59
18446744073709551992,100279802,1668065243,1,376,2022-11-10 07:27:23
18446744073709551993,100632749,1668065303,1,377,2022-11-10 07:28:23
18446744073709551994,100279802,1668065399,1,378,2022-11-10 07:29:59
18446744073709551995,99976109,1668068903,1,379,2022-11-10 08:28:23
18446744073709551996,100515200,1668069539,1,380,2022-11-10 08:38:59
18446744073709551997,100166517,1668070499,1,381,2022-11-10 08:54:59
18446744073709551998,100521960,1668070655,1,382,2022-11-10 08:57:35
18446744073709551999,100134720,1668071123,1,383,2022-11-10 09:05:23
18446744073709552000,100561483,1668071183,1,384,2022-11-10 09:06:23
18446744073709552001,100226710,1668071303,1,385,2022-11-10 09:08:23
